_id,id,genres,rating,release_date,runtime,source,summary,title,type
685682fc8482e0a7a00726f5,tmdb_1241894,"Family, Fantasy",6.196,2024-10-17,0,tmdb,"Humans who can shapeshift into animals struggle to integrate with others without giving away their special abilities. As a group, they strive to inform and institute change in the world perspective of deforestation and the importance of natural habitats. However, when that can’t happen, they are forced to take matters into their own hands.",Woodwalkers,movie
685682fc8482e0a7a00726f6,tmdb_1219555,"Comedy, Drama, Romance",7.868,2025-02-13,0,tmdb,"The main thing is sexy - no matter whether thin, fat, what skin color, young, old, we can all be sexy in different ways. Almost every woman grows up having to work on herself in order to remain desirable. Why? What if we stopped pushing ourselves into a sexy pose with all our might? What if we no longer fought for the right to be sexy, but were truly free? What if we stopped investing all our time and energy in being heard and the world started to hear us? A modern movie about modern women and men - who might be able to find a common language.",Wunderschöner,movie
685682fc8482e0a7a00726f7,tmdb_1233069,"Thriller, Action",6.769,2025-04-29,0,tmdb,"When her son vanishes inside a US consulate, ex-special forces soldier Sara does everything in her power to find him — and uncovers a dark conspiracy.",Exterritorial,movie
685682fc8482e0a7a00726f8,tmdb_568770,"Horror, Mystery",7.714,2025-06-05,0,tmdb,"A girl is possessed by a dark and mysterious entity. She will fight with all the elements at her disposal to get rid of it. Neither her mother, nor traditional medicine, nor a supposed expert in exorcisms, will be able to make the demon disappear, until a nun gets involved in the case and sows a doubt more terrible than the possession itself.",The Containment,movie
685682fc8482e0a7a00726f9,tmdb_1184918,"Animation, Science Fiction, Family",8.313,2024-09-12,0,tmdb,"After a shipwreck, an intelligent robot called Roz is stranded on an uninhabited island. To survive the harsh environment, Roz bonds with the island's animals and cares for an orphaned baby goose.",The Wild Robot,movie
685682fc8482e0a7a00726fa,tmdb_975615,"Drama, Thriller",5.857,2025-05-02,0,tmdb,"This is the TRUE STORY of the world-renowned journalist and human rights activist Anna Politkovskaya went from being a local print journalist to braving the Chechen killing fields and exposing Russian state corruption under Vladimir Putin. She refused to give up reporting on the war in Chechnya despite numerous acts of intimidation and violence, including being poisoned. She was ultimately murdered in the elevator of her block of flats and it remains unclear who paid for the contract killing.",Words of War,movie
685682fc8482e0a7a00726fb,tmdb_1094473,"Adventure, Family, Documentary",6.036,2024-10-16,0,tmdb,"The life of Bambi, a male roe deer, from his birth through childhood, the loss of his mother, the finding of a mate, the lessons he learns from his father, and the experience he gains about the dangers posed by human hunters in the forest.",Bambi: A Life in the Woods,movie
685682fc8482e0a7a00726fc,tmdb_1426776,"Thriller, Drama, Crime",8.037,2025-06-05,0,tmdb,What will be her last straw? A devastatingly bad day pushes a hardworking single mother to the breaking point — and into a shocking act of desperation.,STRAW,movie
685682fc8482e0a7a00726fd,tmdb_1087891,"Thriller, Action",6.913,2025-04-09,0,tmdb,"After his life is turned upside down when his wife is killed in a London terrorist attack, a brilliant but introverted CIA decoder takes matters into his own hands when his supervisors refuse to take action.",The Amateur,movie
685682fc8482e0a7a00726fe,tmdb_1240475,Action,5.571,2024-02-12,0,tmdb,"The film tells the story of narcotics police officer Huang Mingjin and the ""mysterious figure"" Wei Yunzhou. Through completely different means and methods, in the process of calculating and wrestling with each other, they tear apart the facade of urban tranquility, exposing the underground drug network woven by the hidden hand ""Long Wang"", and ultimately eradicate the darkness with the sword of justice, revealing the dawn of light.",Hunt the Wicked,movie
685682fc8482e0a7a00726ff,tmdb_1239193,"Action, Comedy, Crime",6.735,2025-06-12,0,tmdb,"Kat is an improv comedy teacher beginning to question if she’s missed her shot at success. When an undercover cop offers her the role of a lifetime, she recruits two of her students to infiltrate London’s gangland by impersonating dangerous criminals.",Deep Cover,movie
685682fc8482e0a7a0072700,tmdb_870028,"Mystery, Crime, Thriller",7.195,2025-04-23,0,tmdb,"When an old acquaintance is murdered, Wolff is compelled to solve the case. Realizing more extreme measures are necessary, Wolff recruits his estranged and highly lethal brother, Brax, to help. In partnership with Marybeth Medina, they uncover a deadly conspiracy, becoming targets of a ruthless network of killers who will stop at nothing to keep their secrets buried.",The Accountant²,movie
685682fc8482e0a7a0072701,tmdb_1127110,"Action, Thriller",6.8,2025-06-13,0,tmdb,"Ex-con Kris Chaney seizes the daughter of a Colombian gangster to fulfill a noble promise to the young girl's mother. When her father enlists both the criminal underworld and a psychotic killer to exact his revenge, Kris relies on everything he's ever learned to stay alive and keep his word.",Diablo,movie
